Source_Borough,Drop_Borough,Date,Hour,Trip_Distance,Duration,Count_of_rides,tip_amount,total_amount
Brooklyn,Brooklyn,1/23/18,8,1.849395161,34.16144713,93,1.817365591,12.5955914
Manhattan,Brooklyn,1/26/18,23,6.921767905,28.95753344,1094,4.040482895,30.62140977
Manhattan,Queens,1/29/18,0,6.814144792,20.99646181,224,2.243792708,26.69100104
Manhattan,Queens,1/4/18,12,13.6653858,66.9312658,141,5.594498869,54.0327478
Unknown,Unknown,1/6/18,12,1.9445,9.736369048,285,3.947059524,79.826
Queens,Bronx,1/8/18,18,15.61027778,44.90462963,20,1.467777778,55.69444444
Queens,Brooklyn,1/8/18,19,13.28046667,34.50368981,118,4.32805,45.5018
Manhattan,Brooklyn,1/9/18,23,6.492609087,22.19350809,628,3.846742634,27.60737323
Brooklyn,Queens,1/13/18,22,5.634,18.12,5,2.266,22.966
Unknown,Manhattan,1/23/18,11,1.502539683,11.91547619,31,1.472142857,12.39119048
Manhattan,Brooklyn,1/17/18,11,6.700280374,39.64727414,116,3.321308411,28.61
Queens,Manhattan,1/6/18,14,13.12331517,42.99467094,394,6.28465,49.7399047
Queens,Bronx,1/7/18,23,14.71472222,23.62361111,21,4.159722222,51.55305556
Manhattan,Bronx,1/20/18,18,8.245401235,26.78040123,58,2.171388889,30.79132716
Manhattan,Bronx,1/10/18,19,9.572131148,50.85655738,63,3.671393443,36.15795082
Queens,Queens,1/26/18,21,6.494357213,14.91604893,219,2.456681249,24.59215395
Queens,Queens,1/27/18,16,4.938551807,16.00637445,161,1.587063552,21.29065342
Manhattan,Bronx,1/2/18,15,8.395583333,29.71784722,48,1.355416667,30.94725
Manhattan,EWR,1/13/18,4,17.61533333,120.9144444,16,11.82333333,91.824
Queens,Brooklyn,1/16/18,12,13.04361364,37.87697601,80,5.502318182,47.29720455
Manhattan,EWR,1/25/18,17,16.90711111,59.4137037,25,12.22444444,100.6935
Manhattan,Bronx,1/31/18,3,9.249354839,19.70430108,31,1.60516129,30.44580645
Brooklyn,Manhattan,1/6/18,4,5.081111111,16.74074074,18,2.706666667,21.56222222
Unknown,Manhattan,1/27/18,22,1.494166667,8.753125,35,2.656111111,18.66902778
Brooklyn,Brooklyn,1/3/18,4,2.09,8.527777778,17,0.33,10.73
Queens,Brooklyn,1/13/18,19,12.47005026,32.38000441,115,4.485957672,42.42987302
Manhattan,Bronx,1/26/18,1,8.537301587,20.07420635,65,1.88968254,29.49396825
Manhattan,Staten Island,1/27/18,2,20.25,44.31666667,6,6.56,80.67333333
Queens,Bronx,1/12/18,7,15.31,54.02916667,8,2.4625,55.52
Unknown,Manhattan,1/29/18,3,2.835,9.506666667,6,1.894,17.654
Manhattan,Unknown,1/30/18,16,2.34745098,9.726633987,20,0.594313725,18.58607843
Bronx,Manhattan,1/1/18,0,2.6425,10.07083333,8,0.9375,13.05
Unknown,Manhattan,1/30/18,6,1.417142857,7.231349206,22,1.300952381,13.29738095
EWR,EWR,1/7/18,7,0,0.175,2,11.895,94.02
Manhattan,EWR,1/20/18,7,17.95265625,31.23637153,25,10.07390625,89.69671875
Queens,Manhattan,1/21/18,4,9.016547619,19.47896825,31,1.987142857,31.855
Manhattan,Bronx,1/5/18,4,8.0885,89.70333333,20,0.9305,26.8055
Manhattan,Unknown,1/16/18,16,4.645238095,15.78809524,26,5.311111111,37.62222222
Unknown,Manhattan,1/2/18,5,1.547777778,4.118518519,9,0.697777778,14.44222222
Queens,Brooklyn,1/1/18,3,9.562708333,80.22986111,26,3.15625,33.475
Unknown,Manhattan,1/7/18,3,0.528809524,2.413888889,19,3.743333333,29.26714286
Unknown,Queens,1/19/18,5,0,0.05,3,1.8925,54.8325
Manhattan,Unknown,1/14/18,16,6.267142857,17.73452381,17,3.322142857,40.56
Manhattan,Bronx,1/9/18,14,8.840555556,32.675,30,2.505,32.10611111
Bronx,Manhattan,1/24/18,11,6.155,16.00833333,4,0.4475,21.2475
Bronx,Bronx,1/1/18,17,3.983333333,12.72407407,9,1.333333333,19.57111111
Unknown,Manhattan,1/10/18,0,1.404444444,5.143518519,10,1.583333333,21.80555556
Brooklyn,Manhattan,1/10/18,2,5.066666667,15.51805556,12,2.1325,20.8075
Queens,Unknown,1/1/18,3,11.52333333,16.52592593,5,3.127777778,58.90111111
Queens,Unknown,1/16/18,13,20.37083333,32.94953704,14,13.77388889,116.5961111
Unknown,Unknown,1/1/18,8,2.398563218,6.825,88,0.792011494,11.2045977
Queens,EWR,1/1/18,17,34,54.36666667,2,14.93,164.87
Unknown,Manhattan,1/7/18,5,4.545,9.166666667,6,5.833333333,29.13333333
Queens,Brooklyn,1/14/18,4,7.353636364,16.54848485,11,0.992727273,24.74727273
Unknown,Queens,1/21/18,11,5.933333333,19.08703704,5,2.922222222,24.80666667
Manhattan,Unknown,1/3/18,5,2.475,8.808333333,4,0.25,20.175
Brooklyn,Queens,1/29/18,2,9.985,20.36666667,2,3.38,34.18
Bronx,Manhattan,1/31/18,18,2.57,14.66666667,2,0,14.3
